name1,name2,distance,foreced_redirection
Abia,Cameroon,935.826,0
Abia,Chad,1210.332,0
Abia,Niger,1098.135,0
Gombe,Kaduna,300.139,0
Gombe,Akwa Ibom,702.788,0
Gombe,Edo,584.542,0
Gombe,Bayelsa,794.117,0
Gombe,Yobe,223.202,0
Gombe,Borno,444.294,0
Gombe,Adamawa,135.248,0
Gombe,Benue,335.992,0
Gombe,Plateau,285.224,0
Gombe,Rivers,710.223,0
Gombe,Lagos,873.588,0
Gombe,Zamfara,559.762,0
Gombe,Delta,737.168,0
Gombe,Nassarawa,316.993,0
Gombe,Cross River,564.547,0
Gombe,Kebbi,678.379,0
Gombe,Ogun,926.273,0
Gombe,Abia,676.893,0
Gombe,Niger,522.296,0
Gombe,Taraba,169.217,0
Gombe,Kwara,695.412,0
Gombe,Imo,660.494,0
Gombe,Katsina,466.139,0
Gombe,Ekiti,687.277,0
Gombe,Kogi,515.715,0
Gombe,Kano,360.62,0
Gombe,Ebonyi,484.832,0
Gombe,Oyo,849.579,0
Gombe,Federal Capital Territory,434.612,0
Gombe,Cameroon,298.388,0
Gombe,Chad,533.457,0
Gombe,Niger,438.811,0
Niger,Kaduna,225.167,0
Niger,Akwa Ibom,586.166,0
Niger,Edo,286.063,0
Niger,Bayelsa,568.835,0
Niger,Yobe,642.724,0
Niger,Borno,920.772,0
Niger,Adamawa,648.086,0
Niger,Benue,447.206,0
Niger,Plateau,239.628,0
Niger,Rivers,480.3,0
Niger,Lagos,446.24,0
Niger,Zamfara,275.167,0
Niger,Delta,467.69,0
Niger,Nassarawa,291.613,0
Niger,Cross River,453.792,0
Niger,Kebbi,235.612,0
Niger,Ogun,467.312,0
Niger,Abia,515.686,0
Niger,Gombe,522.296,0
Niger,Taraba,457.524,0
Niger,Kwara,189.196,0
Niger,Imo,457.867,0
Niger,Katsina,223.391,0
Niger,Ekiti,242.856,0
Niger,Kogi,226.415,0
Niger,Kano,333.056,0
Niger,Ebonyi,410.917,0
Niger,Oyo,381.313,0
Niger,Federal Capital Territory,118.399,0
Niger,Cameroon,815.5,0
Niger,Chad,958.305,0
Niger,Niger,789.639,0
Taraba,Kaduna,240.833,0
Taraba,Akwa Ibom,534.045,0
Taraba,Edo,444.751,0
Taraba,Bayelsa,630.293,0
Taraba,Yobe,391.354,0
Taraba,Borno,603.595,0
Taraba,Adamawa,229.574,0
Taraba,Benue,166.79,0
Taraba,Plateau,229.046,0
Taraba,Rivers,549.54,0
Taraba,Lagos,741.449,0
Taraba,Zamfara,578.613,0
Taraba,Delta,580.333,0
Taraba,Nassarawa,188.107,0
Taraba,Cross River,398.556,0
Taraba,Kebbi,657.263,0
Taraba,Ogun,802.108,0
Taraba,Abia,510.875,0
Taraba,Gombe,169.217,0
Taraba,Niger,457.524,0
Taraba,Kwara,604.28,0
Taraba,Imo,498.893,0
Taraba,Katsina,478.803,0
Taraba,Ekiti,571.568,0
Taraba,Kogi,385.837,0
Taraba,Kano,418.704,0
Taraba,Ebonyi,320.01,0
Taraba,Oyo,731.88,0
Taraba,Federal Capital Territory,347.928,0
Taraba,Cameroon,434.491,0
Taraba,Chad,701.075,0
Taraba,Niger,605.719,0
Kwara,Kaduna,395.581,0
Kwara,Akwa Ibom,563.378,0
Kwara,Edo,267.347,0
Kwara,Bayelsa,498.286,0
Kwara,Yobe,830.125,0
Kwara,Borno,1106.891,0
Kwara,Adamawa,813.899,0
Kwara,Benue,548.631,0
Kwara,Plateau,410.508,0
Kwara,Rivers,426.1,0
Kwara,Lagos,283.209,0
Kwara,Zamfara,413.186,0
Kwara,Delta,394.928,0
Kwara,Nassarawa,419.431,0
Kwara,Cross River,466.661,0
Kwara,Kebbi,289.653,0
Kwara,Ogun,286.854,0
Kwara,Abia,487.535,0
Kwara,Gombe,695.412,0
Kwara,Niger,189.196,0
Kwara,Taraba,604.28,0
Kwara,Imo,424.215,0
Kwara,Katsina,393.081,0
Kwara,Ekiti,118.86,0
Kwara,Kogi,258.986,0
Kwara,Kano,517.819,0
Kwara,Ebonyi,455.471,0
Kwara,Oyo,201.007,0
Kwara,Federal Capital Territory,261.743,0
Kwara,Cameroon,992.609,0
Kwara,Chad,1147.347,0
Kwara,Niger,978.496,0
Imo,Kaduna,464.07,0
Imo,Akwa Ibom,139.203,0
Imo,Edo,172.872,0
Imo,Bayelsa,136.074,0
Imo,Yobe,869.787,0
