name1,name2,distance,forced_redirection
Federal Capital Territory,Nassarawa,174.061,0
Federal Capital Territory,Kebbi,349.268,0
Federal Capital Territory,Gombe,434.612,0
Federal Capital Territory,Niger,755.596,0
Federal Capital Territory,Taraba,347.928,0
Federal Capital Territory,Kwara,261.743,0
Federal Capital Territory,Katsina,271.763,0
Federal Capital Territory,Ekiti,262.673,0
Federal Capital Territory,Kano,335.293,0
Federal Capital Territory,Cameroon,732.61,0
Federal Capital Territory,Chad,910.253,0
Cameroon,Edo,875.314,0
Cameroon,Yobe,245.089,0
Cameroon,Borno,201.959,0
Cameroon,Adamawa,208.092,0
Cameroon,Benue,586.857,0
Cameroon,Zamfara,805.023,0
Cameroon,Nassarawa,609.306,0
Cameroon,Kebbi,947.677,0
Cameroon,Gombe,298.388,0
Cameroon,Niger,369.42,0
Cameroon,Taraba,434.491,0
Cameroon,Kwara,992.609,0
Cameroon,Katsina,723.38,0
Cameroon,Ekiti,985.221,0
Cameroon,Kogi,810.077,0
Cameroon,Kano,591.335,0
Cameroon,Federal Capital Territory,732.61,0
Cameroon,Chad,341.455,0
Chad,Yobe,327.645,0
Chad,Borno,148.76,0
Chad,Adamawa,512.183,0
Chad,Benue,867.169,0
Chad,Zamfara,844.454,0
Chad,Nassarawa,838.272,0
Chad,Gombe,533.457,0
Chad,Niger,194.074,0
Chad,Taraba,701.075,0
Chad,Katsina,794.258,0
Chad,Kano,649.88,0
Chad,Federal Capital Territory,910.253,0
Chad,Cameroon,341.455,0
Niger,Edo,961.436,0
Niger,Kogi,883.666,0
